order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-000001,2022-08-17,2022,Q3,8,August,North America,Mexico,Office Supplies,Pens,Consumer,4,32.21,128.84,64.03,64.81,50.3
ORD-000002,2022-06-28,2022,Q2,6,June,Latin America,Brazil,Electronics,Laptops,Consumer,20,620.02,12400.4,11078.1,1322.3,10.66
ORD-000003,2023-02-12,2023,Q1,2,February,Latin America,Argentina,Clothing,Accessories,Corporate,1,326.63,326.63,170.62,156.01,47.76
ORD-000004,2022-11-23,2022,Q4,11,November,Latin America,Chile,Office Supplies,Pens,Consumer,11,191.66,2108.26,1411.14,697.12,33.07
ORD-000005,2024-02-18,2024,Q1,2,February,North America,Canada,Office Supplies,Notebooks,Corporate,15,162.39,2435.85,1313.24,1122.61,46.09
ORD-000006,2024-02-15,2024,Q1,2,February,North America,Mexico,Office Supplies,Notebooks,Corporate,3,117.58,352.74,242.07,110.67,31.37
ORD-000007,2023-04-12,2023,Q2,4,April,Asia Pacific,China,Furniture,Chairs,Corporate,12,474.72,5696.64,4279.34,1417.3,24.88
ORD-000008,2023-12-29,2023,Q4,12,December,Europe,United Kingdom,Electronics,Audio,Home Office,8,469.29,4317.47,3225.52,1091.95,25.29
ORD-000009,2024-02-17,2024,Q1,2,February,Asia Pacific,South Korea,Furniture,Shelves,Consumer,2,405.25,810.5,452.65,357.85,44.15
ORD-000010,2024-04-01,2024,Q2,4,April,Asia Pacific,China,Furniture,Tables,Home Office,16,526.84,8429.44,5743.07,2686.37,31.87
ORD-000011,2024-07-28,2024,Q3,7,July,Europe,United Kingdom,Furniture,Desks,Home Office,9,877.14,7894.26,4546.27,3347.99,42.41
ORD-000012,2024-05-27,2024,Q2,5,May,Latin America,Chile,Furniture,Desks,Home Office,2,780.79,1561.58,845.86,715.72,45.83
ORD-000013,2022-11-10,2022,Q4,11,November,Europe,Italy,Electronics,Cameras,Corporate,15,1509.93,26046.29,17388.08,8658.21,33.24
ORD-000014,2022-01-24,2022,Q1,1,January,North America,Mexico,Office Supplies,Staplers,Consumer,6,62.23,373.38,210.54,162.84,43.61
ORD-000015,2023-06-24,2023,Q2,6,June,Europe,Spain,Electronics,Tablets,Home Office,7,1293.77,9056.39,7804.71,1251.68,13.82
